Timestamp,Please enter the unique code provided to you at the end of the annotation task,Overall(Mean),SysUse,InfoQual,IntQual,1. The MetaSEMAP tool provided error messages that clearly guided me on how to resolve issues,"2. Whenever I made a mistake using MetaSEMAP, I could recover easily and quickly.",3. MetaSEMAP is consistent in the way it presents information and choices.,4. MetaSEMAP provides all the functions I need for annotating mapping files.,5. MetaSEMAP is easy to use for annotating mapping files.,6. It is easy to learn how to use MetaSEMAP for annotating mapping files.,7. I can imagine that most people would learn to use MetaSEMAP for annotating mapping files very quickly.,8. I find MetaSEMAP unnecessarily complex for annotating mapping files.,Reverse 8,9. I needed to learn a lot of things before I could effectively use MetaSEMAP for annotating mapping files.,Reverse 9,10. The various functions in MetaSEMAP are well-integrated for annotating mapping files.,11. I thought there was too much inconsistency in MetaSEMAP for annotating mapping files.,Reverse 11,12. I felt very confident using MetaSEMAP for annotating mapping files.,13. I found MetaSEMAP challenging to use for annotating mapping files.,Reverse 13,"14. Overall, I am satisfied with my experience using MetaSEMAP for annotating mapping files.",Which metadata representation in MetaSEMAP did you find easiest to read and understand when annotating mapping files?,Do you have any additional comments or suggestions on how we can improve the design of MetaSEMAP for annotating mapping files? Please share your thoughts below. 
2024/11/18 10:30:27 PM GMT+1,609P,1.46,1.25,2.25,1,4,1,1,2,1,1,1,7,1,5,3,1,7,1,1,7,1,1,Named Graph,Everyone can use this tool as it is very easy to use and user does not require any technical knowledge to use it.
2024/11/19 12:16:18 AM GMT+1,976L,3,2.5,4.25,1.75,3,4,1,1,3,3,3,3,5,3,5,2,6,2,5,6,2,2,RDF-star,You could add explanatory descriptions for each input field to sometimes better understand what's meant. Like with the question mark for sections but for each field. 
2024/11/19 8:38:02 AM GMT+1,178T,2.07,2.5,2.5,1.5,2,2,1,4,2,2,2,6,2,4,4,1,6,2,1,6,2,1,Named Graph,Adding features for team collaboration and showing how the metadata impacts the mapping would make the tool even better.
2024/11/19 3:02:38 PM GMT+1,243O,1.76,1.5,1.25,2.5,1,1,1,1,1,2,2,6,2,7,1,6,6,2,2,7,1,7,RDF-star,N/A
2024/11/19 9:31:29 PM GMT+1,669S,1.76,1.75,2,1.75,4,1,1,4,1,1,1,7,1,6,2,2,5,3,1,7,1,2,Named Graph,"Options for results of testing has free text input as opposed to a dropdown of options, so I was unclear of what should be written. I decided on ""Success"" to denote a positive result, but the question seems open ended."
2024/11/19 10:18:22 PM GMT+1,411Q,3.15,2.75,4.25,2.5,6,2,2,4,3,2,2,5,3,2,6,2,6,2,3,4,4,3,Named Graph,No
2024/11/20 12:20:23 AM GMT+1,017Y,4,3.75,4.25,3.75,6,3,3,4,3,3,5,5,3,3,5,4,4,4,5,4,4,5,Named Graph,"For the annotation functionality itself, I think it works well.  
However, when attempting to submit the annotations I had made, I ran into lots of error messages of the kind ""TypeError: str should not be of value None"" (or something along these lines) with a stack trace of all the internal function calls being made. This happned even though I checked many times that all fields were filled out. I had to use a seperate browser to avoid this in the end. I think cleaner error handling for this kind of error would be useful for user experience. "
2024/11/20 2:08:00 AM GMT+1,488N,1.07,1,1.25,1,1,1,1,1,1,1,1,7,1,6,2,1,7,1,1,7,1,1,Named Graph,It was a great and easy to use tool for annotating mapping files
2024/11/20 2:54:46 PM GMT+1,412G,3.07,2.25,3.25,3.5,3,4,3,2,2,2,3,6,2,4,4,4,4,4,4,5,3,2,RDF-star,"To me everything seemed quite reasonable. I don't feel I meticulously understand the software so I can't give many strong reviews about things (it would maybe be more difficult for me if I was trying to generate metadata for a mapping I'd conducted) but all things considered, it seemed to be working perfectly fine."
2024/11/20 3:05:04 PM GMT+1,928Q,1.53,1.25,2.5,1,4,4,1,1,1,2,1,7,1,7,1,1,7,1,1,7,1,1,Named Graph,"It would be even more easier to learn how to use the tool if it gave us a example of a mapping and its metadata, this could be done just by displaying a filled out form for a given mapping or using a video where someone is filling the metadata form and explaining why they are filling certain values for the given fields."
2024/11/20 5:45:16 PM GMT+1,855T,1.46,1,2.5,1,1,1,1,1,1,1,1,7,1,1,7,1,7,1,1,7,1,1,Named Graph,"1. Try to add a VALIDATOR for validating annotations that are required to fill in URIs (Allowing input of arbitrary text strings cannot ensure the actual validity of the final annotations).
2. Consider developing the tool with a graphical user interface (GUI) to reduce the learning cost and allow non-professionals to complete annotations easily. (if necessary)
3. Try to add an auto-wrapping mechanism or tags that can make annotations easier and more convenient to read. (When long strings are used as annotations, they are not automatically wrapped)
4. Implement a mechanism to check for invalid characters such as spaces in required fields to prevent incorrect input."
2024/11/20 10:05:23 PM GMT+1,011X,2.07,2.25,2,2,2,2,2,2,3,2,2,6,2,6,2,2,6,2,2,6,2,2,Named Graph,"The tool could benefit from more detailed tooltips or guidance for specific metadata fields, especially for new users"
2024/11/21 6:02:09 PM GMT+1,281K,4.15,4.5,4.5,3.75,4,4,3,4,5,5,4,3,5,3,5,3,3,5,3,4,4,4,Named Graph,"The RDF-star representation is easier to read and understand when annotating mapping files in MetaSEMAP due to its inline annotation capability, simplified structure, and compact syntax. By embedding metadata directly within triples, RDF-star provides immediate context and reduces the need for external references or complex graph structures. This approach ensures annotations remain concise, intuitive, and easy to follow, making it more user-friendly compared to the more hierarchical and indirect Named Graph representation."
2024/11/21 8:47:05 PM GMT+1,558T,2,2,2,2,2,2,2,2,2,2,2,6,2,6,2,2,6,2,2,6,2,2,RDF-star,Please have the scenario in the same page as the form. It was very confusing at the beginning as to what i am doing. but great tool
2024/11/21 11:48:48 PM GMT+1,871A,3.23,2,3.75,3.75,3,3,2,3,1,2,2,4,4,3,5,3,4,4,4,2,6,2,Named Graph,having some examples before each step would actually help
2024/11/22 12:08:59 AM GMT+1,815M,2,1,2.75,2.5,1,2,1,1,1,1,1,1,7,7,1,1,7,1,1,1,7,1,RDF-star,"no, everything is perfect!"
2024/11/22 2:47:48 PM GMT+1,386U,4.38,4.75,3.75,4.5,4,5,4,5,5,5,4,5,3,5,3,5,4,4,5,3,5,5,Named Graph,No comment
2024/11/22 4:32:30 PM GMT+1,854K,5,4.75,5.25,4.75,5,4,3,5,5,6,3,2,6,2,6,4,2,6,6,2,6,5,Named Graph,N/A
2024/11/22 6:18:12 PM GMT+1,111V,2.3,2.5,2.25,2.25,3,2,3,3,3,2,2,6,2,6,2,2,6,2,2,6,2,1,Named Graph,No i thought it worked well for annotating the mapping file
2024/11/23 1:21:19 AM GMT+1,288F,3.3,2.5,3.75,4,2,1,2,3,2,2,3,3,5,1,7,3,2,6,2,3,5,2,Named Graph,No Comments
2024/11/23 1:00:35 PM GMT+1,826F,1.07,1,1.25,1,1,1,1,1,1,1,1,6,2,7,1,1,7,1,1,7,1,1,RDF-star,Very good design and implementation
2024/11/23 1:59:30 PM GMT+1,856R,1.92,1.5,1.75,2.75,2,2,2,1,1,1,3,6,2,7,1,1,2,6,1,6,2,1,Named Graph,"At this time, I have no specific suggestions to share. "
2024/11/23 9:00:48 PM GMT+1,771E,2.53,2.25,3.25,2.5,1,1,2,3,2,3,1,4,4,1,7,3,7,1,1,4,4,4,RDF-star,N/A
2024/11/24 1:42:40 AM GMT+1,21,4.15,4.25,3.75,4.25,2,5,3,5,5,3,4,6,2,2,6,4,3,5,5,3,5,2,Named Graph,NA
2024/11/24 1:45:21 AM GMT+1,671F,2.76,2.25,3,3.25,3,3,2,3,2,2,2,6,2,4,4,3,6,2,2,2,6,2,Named Graph,NA
2024/11/24 3:41:46 AM GMT+1,054T,4.15,3.75,5,4.25,5,5,5,4,4,2,5,3,5,3,5,6,4,4,2,6,2,3,RDF-star,NIL
2024/11/24 12:04:56 PM GMT+1,247Q,2.84,1,4,4,1,1,1,1,1,1,1,1,7,1,7,1,1,7,1,1,7,1,Named Graph,-
2024/11/24 2:04:32 PM GMT+1,440G,2.61,1.5,3.25,2.5,4,2,2,2,2,1,1,6,2,3,5,3,6,2,5,5,3,2,Named Graph,No
2024/11/24 5:30:15 PM GMT+1,742H,1.76,1.75,1.75,1.75,2,2,1,1,2,2,2,6,2,7,1,1,6,2,2,5,3,1,Named Graph,as of now it was easy to use and understandable
2024/11/24 7:15:03 PM GMT+1,663W,1.92,2,1.5,2,1,1,1,2,1,2,3,6,2,6,2,2,5,3,3,6,2,1,Named Graph,"I think overall, the tool is very good for annotating mapping files. I prefer the Named Graph format"
2024/11/24 8:41:11 PM GMT+1,445M,1.92,1.25,2.5,2,3,3,1,1,2,1,1,6,2,6,2,4,7,1,2,6,2,3,Named Graph,A bit more specific about what each field requires.
2024/11/24 9:02:02 PM GMT+1,010X,1.84,1.5,2,1.75,2,2,1,2,1,1,2,6,2,6,2,2,6,2,3,6,2,2,Named Graph,No
2024/11/24 9:44:25 PM GMT+1,747A,1.53,1,2,1.5,1,1,1,1,1,1,1,6,2,4,4,2,7,1,2,6,2,1,Named Graph,Overall very good.
2024/11/24 9:44:32 PM GMT+1,753C,2.61,2.5,3,2.25,4,3,2,3,3,2,2,6,2,5,3,3,6,2,3,6,2,2,Named Graph,"Named graphs provide clear differentiation of metadata with exclusive prefixes and labeled properties, making it easier and better for users to read and interpret from."
2024/11/24 10:38:14 PM GMT+1,952Y,2.07,1.5,2.75,1.75,1,2,1,2,1,1,2,5,3,3,5,2,6,2,3,6,2,1,Named Graph,Good
2024/11/24 11:27:27 PM GMT+1,236Q,1.84,1.5,2.5,1.5,2,2,2,2,1,1,2,7,1,3,5,2,7,1,2,7,1,2,Named Graph,some metadata can have more details as to what it implies.
2024/11/25 1:19:18 AM GMT+1,803M,1.53,1.5,1.5,1.5,2,1,1,2,1,1,2,6,2,7,1,2,6,2,2,7,1,1,Named Graph,Drop-down menus were useful and showing compiled metadata at the end made it easy to see all information and change if needed. One small improvement would be to increase the size of text input boxes that contain longer strings so it is possible to see all text without scrolling through the small box
2024/11/25 1:33:12 AM GMT+1, 511T,2.84,2,3,3.5,2,2,3,2,2,2,2,5,3,3,5,4,4,4,3,5,3,2,RDF-star,NA
2024/11/25 1:40:56 AM GMT+1, 361R,3.07,2.5,2.75,4,2,2,3,2,2,3,3,5,3,4,4,4,4,4,3,3,5,3,RDF-star,NA
2024/11/25 2:12:03 AM GMT+1, 734F,4.23,4.75,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,Named Graph,NA
2024/11/25 4:59:12 AM GMT+1,778W,2.61,2.5,3,2.25,4,3,2,3,3,2,2,6,2,5,3,3,6,2,3,6,2,2,Named Graph,"Named graphs provide clear division of metadata with explicit prefixes and labeled properties, making it easier and better for users to read and interpret from."
2024/11/25 5:01:56 AM GMT+1,977N,2.53,2.5,3,2,4,3,2,3,3,2,2,6,2,5,3,3,6,2,3,7,1,1,RDF-star,"Improve MetaSEMAP by adding detailed error messages, predefined templates, visualization tools for mappings, and a guided tutorial mode. Enhance consistency checks, offer search/filter features, and enable collaboration with version control. Simplify the interface for a better user experience."
2024/11/25 9:31:49 AM GMT+1,559Q,2,1.25,2.5,2.25,3,2,2,2,1,1,1,7,1,4,4,3,6,2,2,6,2,2,Named Graph,N/A
2024/11/25 1:40:09 PM GMT+1,465H,1.92,1.25,2.5,2,3,3,2,2,1,1,1,7,1,5,3,2,6,2,2,6,2,1,RDF-star,Can add more instructions so that its easy for a someone using it for the very first time
2024/11/25 1:46:43 PM GMT+1,334W,1.76,1.5,1.5,2.25,1,2,1,2,1,2,1,7,1,6,2,3,6,2,2,5,3,1,Named Graph,For someone new code highlighting can be added to tool for better readability.
2024/11/25 4:25:10 PM GMT+1,880B,2.84,1,4,4,1,1,1,1,1,1,1,1,7,1,7,1,1,7,1,1,7,1,Named Graph,"No, all is great!"
,Overall M,2.51326087,2.152173913,2.85326087,2.554347826,,,,,,,,,,,,,,,,,,,,
,SD,0.954079089,,,,,,,,,,,,,,,,,,,,,,,
,Named G,34,73.91304348,,,,,,,,,,,,,,,,,,,,,,
,Rdf star,12,26.08695652,,,,,,,,,,,,,,,,,,,,,,
